"Country","Location","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Display Value","Numeric","Low","High","Comments"
"Liberia","MARYLAND","Number of cases","Probable","Situation report","09 to 15 February 2015","New","Data package 2015-03-11","0","0.00000","","",""
"Liberia","MARGIBI","Number of cases","Confirmed","Patient database","30 December 2013 to 05 January 2014","New","Data package 2015-03-11","","","","",""
"Liberia","MARGIBI","Number of cases","Probable","Patient database","31 March to 06 April 2014","New","Data package 2015-03-11","","","","",""
"Liberia","MARYLAND","Number of cases","Probable","Situation report","01 to 07 September 2014","New","Data package 2015-03-11","","","","",""
"Liberia","MARGIBI","Number of cases","Confirmed","Patient database","09 to 15 June 2014","New","Data package 2015-03-11","1","1.00000","","",""
"Liberia","LOFA","Number of cases","Probable","Situation report","31 March to 06 April 2014","New","Data package 2015-03-11","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed","Patient database","10 to 16 November 2014","New","Data package 2015-03-11","27","27.00000","","",""
"Liberia","BOMI","Number of cases","Probable","Situation report","13 to 19 January 2014","New","Data package 2015-03-11","","","","",""
"Liberia","LOFA","Number of cases","Probable","Situation report","08 to 14 September 2014","New","Data package 2015-03-11","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed","Patient database","02 to 08 June 2014","New","Data package 2015-03-11","1","1.00000","","",""
"Liberia","NIMBA","Number of cases","Probable","Situation report","02 to 08 February 2015","New","Data package 2015-03-11","0","0.00000","","",""
"Liberia","GRAND KRU","Number of cases","Confirmed","Patient database","06 to 12 January 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GRAND GEDEH","Number of cases","Confirmed","Patient database","06 to 12 October 2014","New","Data package 2015-03-11","","","","",""
"Liberia","BOMI","Number of cases","Confirmed","Patient database","22 to 28 December 2014","New","Data package 2015-03-11","","","","",""
"Liberia","NIMBA","Number of cases","Confirmed","Situation report","26 May to 01 June 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GRAND GEDEH","Number of cases","Probable","Situation report","07 to 13 April 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GRAND GEDEH","Number of cases","Probable","Patient database","05 to 11 January 2015","New","Data package 2015-03-11","","","","",""
"Liberia","RIVER GEE","Number of cases","Confirmed","Patient database","03 to 09 November 2014","New","Data package 2015-03-11","","","","",""
"Liberia","MONTSERRADO","Number of cases","Probable","Patient database","01 to 07 September 2014","New","Data package 2015-03-11","42","42.00000","","",""
"Liberia","BONG","Number of cases","Confirmed","Situation report","15 to 21 December 2014","New","Data package 2015-03-11","4","4.00000","","",""
"Liberia","BONG","Number of cases","Probable","Patient database","13 to 19 January 2014","New","Data package 2015-03-11","","","","",""
"Liberia","SINOE","Number of cases","Confirmed","Situation report","25 to 31 August 2014","New","Data package 2015-03-11","","","","",""
"Liberia","RIVER GEE","Number of cases","Probable","Patient database","02 to 08 February 2015","New","Data package 2015-03-11","","","","",""
"Liberia","GBARPOLU","Number of cases","Confirmed","Situation report","13 to 19 October 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GRAND BASSA","Number of cases","Probable","Patient database","16 to 22 June 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GRAND CAPE MOUNT","Number of cases","Confirmed","Situation report","10 to 16 March 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GRAND GEDEH","Number of cases","Probable","Patient database","17 to 23 November 2014","New","Data package 2015-03-11","","","","",""
"Liberia","BOMI","Number of cases","Confirmed","Patient database","09 to 15 February 2015","New","Data package 2015-03-11","","","","",""
"Liberia","GBARPOLU","Number of cases","Confirmed","Patient database","15 to 21 December 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GBARPOLU","Number of cases","Probable","Situation report","04 to 10 August 2014","New","Data package 2015-03-11","","","","",""
"Liberia","RIVER GEE","Number of cases","Probable","Situation report","01 to 07 December 2014","New","Data package 2015-03-11","0","0.00000","","",""
"Liberia","RIVER GEE","Number of cases","Probable","Situation report","23 to 29 June 2014","New","Data package 2015-03-11","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed","Patient database","29 December 2014 to 04 January 2015","New","Data package 2015-03-11","","","","",""
"Liberia","NIMBA","Number of cases","Confirmed","Patient database","31 March to 06 April 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GRAND BASSA","Number of cases","Confirmed","Patient database","13 to 19 October 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GRAND CAPE MOUNT","Number of cases","Probable","Situation report","09 to 15 June 2014","New","Data package 2015-03-11","","","","",""
"Liberia","GRAND KRU","Number of cases","Probable","Situation report","02 to 08 June 2014","New","Data package 2015-03-11","","","","",""
"Liberia","LOFA","Number of cases","Confirmed","Patient database","11 to 17 August 2014","New","Data package 2015-03-11","37","37.00000","","",""
"Liberia","RIVERCESS","Number of cases","Probable","Patient database","05 to 11 May 2014","New","Data package 2015-03-11","","","","",""
